job_id,skill_name,years_required,context_keywords,is_required,company_tier,target_score
1000,Spring Boot,10,Expert,False,Tier 1,975
1000,Kubernetes,10,None,True,Tier 1,875
1000,Mentoring,12,None,True,Tier 1,750
1000,CI/CD,7,Expert,False,Tier 1,825
1000,Microservices,9,Expert,True,Tier 1,1000
1000,Terraform,10,Expert,True,Tier 1,1000
1001,Data Structures,12,Architect,True,Tier 1,1000
1001,Communication,15,Expert,True,Tier 1,400
1001,Leadership,9,Expert,True,Tier 1,750
1001,System Design,13,Expert,True,Tier 1,1000
1001,OOP,13,Expert,True,Tier 1,1000
1001,Problem-solving,11,Expert,True,Tier 1,600
1002,Leadership,0,None,True,Tier 3,750
1002,CSS,0,Junior,True,Tier 3,175
1002,Communication,1,Junior,True,Tier 3,400
1003,CSS,0,Familiar,False,Tier 3,0
1003,Accountability,2,Familiar,False,Tier 3,750
1003,Mentoring,0,Junior,True,Tier 3,750
1003,React,0,Familiar,False,Tier 3,0
1003,HTML,0,Junior,True,Tier 3,175
1004,HTML,10,Lead,True,Tier 2,1000
1004,OOP,6,Expert,False,Tier 2,800
1004,Communication,5,None,True,Tier 2,400
1004,TypeScript,9,Senior,False,Tier 2,950
1004,Problem-solving,9,Lead,True,Tier 2,600
1004,Algorithms,6,Senior,True,Tier 2,850
1004,JavaScript,10,Senior,False,Tier 2,950
1005,OOP,7,Senior,True,Tier 2,850
1005,Problem-solving,5,Expert,False,Tier 2,600
1005,JavaScript,9,None,False,Tier 2,700
1005,HTML,5,Senior,True,Tier 2,850
1006,Scikit-learn,0,Junior,False,Tier 1,175
1006,Communication,1,Junior,True,Tier 1,400
1006,Pandas,0,Junior,True,Tier 1,225
1006,Leadership,2,None,False,Tier 1,750
1007,Mentoring,1,None,False,Tier 2,750
1007,Leadership,2,Familiar,False,Tier 2,750
1007,TensorFlow,0,Junior,True,Tier 2,200
1007,SQL,0,Familiar,False,Tier 2,0
1008,Docker,8,Lead,False,Tier 3,925
1008,Teamwork,15,Lead,True,Tier 3,400
1008,Jenkins,14,Architect,True,Tier 3,975
1008,Terraform,9,Expert,False,Tier 3,925
1008,Data Structures,11,Expert,False,Tier 3,925
1008,System Design,8,Lead,True,Tier 3,975
1008,Algorithms,12,Architect,True,Tier 3,975
1009,React,7,Lead,False,Tier 2,800
1009,Algorithms,9,Senior,True,Tier 2,1000
1009,OOP,8,Lead,True,Tier 2,1000
1009,Mentoring,9,None,True,Tier 2,750
1009,Data Structures,8,Expert,True,Tier 2,1000
1010,OOP,10,Expert,True,Tier 1,1000
1010,GCP,9,Expert,True,Tier 1,1000
1010,Accountability,12,Senior,True,Tier 1,750
1010,Teamwork,11,Expert,False,Tier 1,400
1010,Jenkins,9,None,False,Tier 1,725
1010,Kubernetes,12,None,True,Tier 1,875
1011,OOP,9,Expert,True,Tier 2,1000
1011,Java,7,Senior,True,Tier 2,850
1011,Communication,8,Senior,False,Tier 2,400
1011,Jenkins,6,None,False,Tier 2,550
1011,Teamwork,12,Expert,True,Tier 2,400
1011,Oracle,7,None,True,Tier 2,700
1012,Python,1,Familiar,False,Tier 2,150
1012,Communication,3,None,False,Tier 2,400
1012,Problem-solving,1,Familiar,False,Tier 2,600
1012,SQL,0,Familiar,False,Tier 2,0
1012,Mentoring,1,None,True,Tier 2,750
1013,Python,2,Junior,False,Tier 2,300
1013,PyTorch,1,Familiar,False,Tier 2,150
1013,Communication,1,Familiar,False,Tier 2,400
1014,CI/CD,7,Senior,False,Tier 1,825
1014,Docker,9,Senior,True,Tier 1,1000
1014,Problem-solving,7,Senior,True,Tier 1,600
1014,System Design,8,Expert,False,Tier 1,975
1014,Leadership,8,Senior,True,Tier 1,750
1015,MongoDB,14,Lead,False,Tier 1,975
1015,Docker,10,Lead,True,Tier 1,1000
1015,Leadership,10,Architect,True,Tier 1,750
1015,Data Structures,9,Expert,True,Tier 1,1000
1015,Terraform,12,Expert,True,Tier 1,1000
1015,Problem-solving,15,Expert,True,Tier 1,600
1016,Communication,3,Familiar,False,Tier 3,400
1016,Teamwork,0,Familiar,False,Tier 3,400
1016,PyTorch,1,Junior,True,Tier 3,325
1016,Python,1,Junior,False,Tier 3,275
1016,TensorFlow,0,Familiar,False,Tier 3,0
1017,Data Structures,2,None,False,Tier 1,225
1017,SQL,4,Familiar,False,Tier 1,375
1017,Django,5,Senior,True,Tier 1,875
1017,Teamwork,5,Senior,False,Tier 1,400
1017,Python,3,None,False,Tier 1,425
1018,Terraform,14,Architect,False,Tier 2,950
1018,Docker,13,Lead,True,Tier 2,1000
1018,SQL,8,Architect,True,Tier 2,1000
1018,PostgreSQL,11,Lead,True,Tier 2,1000
1018,Python,14,Expert,True,Tier 2,1000
1018,OOP,9,Architect,False,Tier 2,950
1019,MongoDB,14,Lead,False,Tier 3,925
1019,Mentoring,10,Architect,True,Tier 3,750
1019,OOP,9,Lead,True,Tier 3,975
1019,Leadership,9,Architect,True,Tier 3,750
1019,System Design,13,Lead,True,Tier 3,975
1019,Kubernetes,15,Expert,True,Tier 3,975
1019,FastAPI,12,Expert,False,Tier 3,925
1019,Algorithms,13,Architect,True,Tier 3,975
1019,GCP,9,Lead,True,Tier 3,975
1020,Terraform,3,Senior,True,Tier 2,800
1020,Accountability,5,None,True,Tier 2,750
1020,OOP,4,Familiar,False,Tier 2,350
1020,GCP,5,Familiar,False,Tier 2,500
1020,MongoDB,5,None,True,Tier 2,700
1020,Teamwork,2,Familiar,False,Tier 2,400
1020,Leadership,4,Familiar,False,Tier 2,750
1021,FastAPI,12,Lead,True,Tier 2,1000
1021,AWS,14,Expert,False,Tier 2,950
1021,SQL,8,Lead,True,Tier 2,1000
